Title,Anger,Fear,Joy,Love,Sadness,Surprise,Protagonist Roles,Time Period,Dominant Time of Day,Genres
eXistenZ,0.473059773,0.174096823,0.203276545,0.020045212,0.110961616,0.018559942,Realist,Present,Nighttime,"['Thriller', 'Adventure', 'Sci-Fi']"
Extract,0.032514352,0.005499517,0.953500748,0.001366807,0.004576212,0.00254238,Realist,Past,Daytime,"['Crime', 'Comedy', 'Romance']"
Face Off,0.02579331,0.034885671,0.907349825,0.005715975,0.024914822,0.001340393,Detective/Spy,Present,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Fair Game,0.053844262,0.933259726,0.002986093,0.001332151,0.007672312,0.00090546,Detective/Spy,Past,Daytime,"['Thriller', 'Drama', 'Action']"
Fantastic Four,0.003299946,0.994364738,0.000901687,0.000173973,0.000554837,0.000704832,Detective/Spy,Present,Daytime,"['Adventure', 'Fantasy', 'Sci-Fi', 'Action']"
Fantastic Mr Fox,0.004293513,0.002936641,0.985266805,0.004040948,0.001994195,0.001467816,Detective/Spy,Past,Daytime,"['Adventure', 'Comedy', 'Family']"
Fargo,0.471212834,0.209603816,0.2231998,0.003785406,0.08803729,0.004160791,Detective/Spy,Past,Daytime,"['Thriller', 'Crime', 'Comedy']"
Fast Times at Ridgemont High,0.000620208,0.000366315,0.997616887,0.000340888,0.000481158,0.000574654,Realist,Past,Daytime,"['Comedy', 'Drama']"
Fatal Instinct,0.000309058,0.000201974,0.998003781,0.000844238,0.000420882,0.000219955,Detective/Spy,Past,Daytime,"['Thriller', 'Crime', 'Comedy']"
Fear and Loathing in Las Vegas,0.140093401,0.588118255,0.039906915,0.029006537,0.196360767,0.006514132,Realist,Past,Daytime,"['Comedy', 'Drama']"
Feast,0.298828959,0.681651235,0.007914281,0.001235143,0.008228656,0.002141759,Monster/Killer/Victim,Past,Daytime,"['Thriller', 'Comedy', 'Horror', 'Action']"
Ferris Buellers Day Off,0.929712892,0.059747096,0.005215651,0.000614784,0.004009825,0.000699643,Detective/Spy,Past,Daytime,['Comedy']
Field of Dreams,0.260031193,0.013428405,0.003443734,0.000736593,0.721675634,0.00068442,Child,Past,Nighttime,"['Fantasy', 'Drama', 'Family']"
Fight Club,0.00830983,0.011829695,0.972735822,0.001358149,0.003972237,0.001794344,Detective/Spy,Past,Daytime,"['Thriller', 'Drama', 'Action']"
Final Destination 2,0.310775936,0.527604163,0.007577051,0.001621579,0.142087802,0.01033348,Realist,Past,Daytime,"['Thriller', 'Horror']"
